"","images","animaltype","feature_mean_color","feature_mean_red","feature_mean_green","feature_mean_blue","feature_mean_gradient","feature_mean_gradient_channel1","feature_mean_gradient_channel2","feature_mean_gradient_channel3","feature_numberOfLittleObjects","feature_numberOfMediumObjects","feature_detectedStrongEdges","feature_detectedWeakEdges","feature_numberOfStringPixelsForEdges"
"1","1.jpg",NA,0.332991052303151,0,0.332313205417411,0.907321026862512,0.259496640090994,0.26738886883789,0.235589222431488,0.275011337644125,0.699619771863118,0.351403678606002,0.0420251489080079,0.101357204735778,0.504332755632582
"2","10.jpg",NA,0.0688733719695319,0.155274667879438,0.0313324064780075,0.552810405623147,0.0626863828018873,0.0604720593076665,0.0572743943023409,0.0701361444266662,0.61787072243346,1,0.118795499669093,0.262777938203869,1
"3","2.jpg",NA,0.445032302587298,0.649094685005098,0.390461539424122,0.490447598253275,0.394404813012602,0.385678193845249,0.412675743742385,0.385329797608335,0.435361216730038,0.634075508228461,0.00694904037061549,0.0141495812879007,0.0797227036395147
"4","3.jpg",NA,1,1,1,1,0,0,0,0,0.914448669201521,0.378509196515005,1,1,0.273830155979203
"5","4.jpg",NA,0.427628905927535,0.535581934915384,0.851901318295088,0.123262713183725,1,1,1,1,1,0.811229428848016,0.0908890359585264,0.207334680912504,0.665511265164645
"6","5.jpg",NA,0,0.403284786941861,0.0656020305384889,0,0.115546487584827,0.124539790373423,0.115557362322594,0.106552054229987,0,0,0.0495257004191485,0.116661853883916,0.533795493934142
"7","6.jpg",NA,0.500983550256122,0.709899129149508,0.43223642064061,0.496592076687761,0.250104261126873,0.283576565179018,0.24659919935649,0.220140631970113,0.355513307984791,0.848015488867377,0.0563644385616589,0.136586774473,0.495667244367418
"8","7.jpg",NA,0.555877089020477,0.521281653159187,0.588499524425658,0.722871130389433,0.550516917769549,0.545246288320637,0.559859692459989,0.546734169832979,0.619771863117871,0.271055179090029,0,0,0
"9","8.jpg",NA,0.0710035569521877,0.241855895739548,0,0.338600654632635,0.211359457031545,0.211550940963724,0.201273851615173,0.220988883445615,0.788973384030418,0.869312681510165,0.0103684094418707,0.0199249205890846,0.117850953206239
"10","9.jpg",NA,0.395914625078002,0.704175001510043,0.434261768306947,0.195106650242471,0.183269692783725,0.180791183241236,0.18207331336796,0.187031843724795,0.26425855513308,0.531461761858664,0.0274652547981469,0.0675714698238521,0.45580589254766
